Matrix_Size,Architecture,Unroll_Factor,HLS_Sim_Avg_us,Naive_Avg_us,OpenBLAS_Avg_us,FPGA_Cycles,FPGA_Time_us,DSP,BRAM,LUT,FF
16,1D,1,10.6492,9.45248,0.42197,27428,274.28,5,6,1059,772
16,1D,2,40.704,9.36112,0.41617,16676,166.76,5,10,1104,879
16,1D,4,10.6618,31.038,0.41518,13092,130.92,5,18,1220,1234
16,1D,8,10.6341,69.3624,0.41798,11300,113.0,10,34,1673,2096
16,1D,16,10.4066,8.94782,0.39539,542,5.42,78,66,5830,6651
16,2D,Full,63.1755,8.94782,0.39539,443,4.43,1280,2,98752,113930
32,1D,1,167.291,77.8966,1.30724,207940,2079.4,5,10,1089,793
32,1D,2,83.2006,78.3043,1.32168,115780,1157.8,5,10,1134,902
32,1D,4,255.351,77.88,1.30353,76868,768.68,5,18,1249,1257
32,1D,8,182.942,78.3046,1.35221,57412,574.12,10,34,1702,2119
32,1D,16,84.8738,78.3276,1.31421,52292,522.92,15,66,2240,3493
32,1D,32,140.715,78.2299,1.34644,2084,20.84,158,130,11255,15323
64,1D,1,1088.69,670.241,6.4776,1618052,16180.52,5,40,1112,810
64,1D,2,1056.64,670.079,6.53951,856196,8561.96,5,40,1156,921
64,1D,4,1112.68,670.304,6.49124,503940,5039.4,5,40,1271,1276
64,1D,8,1073.87,674.953,6.50866,327812,3278.12,10,40,1724,2138
64,1D,16,1092.01,671.742,6.68281,258180,2581.8,15,72,2261,3512
64,1D,32,1105.75,670.392,6.54492,229508,2295.08,30,136,3676,6606
64,1D,64,728.337,670.491,6.55267,8233,82.33,318,264,22064,30581
128,1D,1,6109.9,5643.14,7204.56,12763396,127633.96,5,160,1142,827
128,1D,2,5748.87,5652.3,5186.33,6570244,65702.44,5,160,1185,940
128,1D,4,6152.92,5624.81,521.243,3588356,35883.56,5,160,1300,1295
128,1D,8,5747.38,5646.42,4294.21,2097412,20974.12,10,160,1753,2157
128,1D,16,6211.22,5614.63,4351.77,1425668,14256.68,15,160,2290,3531
128,1D,32,6120.92,5640.69,3643.39,1114372,11143.72,30,160,3705,6625
128,1D,64,5751.38,5643.21,2562.48,1048836,10488.36,55,288,6148,12463
128,1D,128,6122.42,5643.41,3161.27,32814,328.14,638,544,43663,61071
256,1D,1,46229.8,45489.8,4601.8,101384708,1013847.08,5,640,1172,844
256,1D,2,46601.3,46306.1,3519.24,51446276,514462.76,5,640,1214,959
256,1D,4,46442.2,45493.4,3237.22,26935812,269358.12,5,640,1329,1314
256,1D,8,46080.0,45988.4,3588.39,14680580,146805.8,10,640,1782,2176
256,1D,16,46990.0,46120.3,3486.32,8847876,88478.76,15,640,2319,3550
256,1D,32,47167.1,46426.9,2821.08,6029828,60298.28,30,640,3734,6644
256,1D,64,46092.4,45531.9,4967.67,4981252,49812.52,55,640,6177,12482
256,1D,128,46166.9,45651.0,4865.72,4522500,45225.0,110,640,11452,24536
256,1D,256,46577.6,45489.6,3075.11,131123,1311.23,1278,1152,86830,122025
512,1D,1,373670.0,370175.0,2982.01,808190980,8081909.8,5,2560,1202,861
512,1D,2,374859.0,369436.0,3735.37,407110660,4071106.6,5,2560,1243,978
512,1D,4,371764.0,370846.0,3469.68,208405508,2084055.08,5,2560,1358,1333
512,1D,8,371284.0,368819.0,3149.0,109052932,1090529.32,10,2560,1811,2195
512,1D,16,371003.0,367590.0,802.636,60556292,605562.92,15,2560,2348,3569
512,1D,32,371214.0,367898.0,804.769,36701188,367011.88,30,2560,3763,6663
512,1D,64,370128.0,367869.0,775.926,26215428,262154.28,55,2560,6206,12501
512,1D,128,373114.0,365990.0,790.79,21234692,212346.92,110,2560,11481,24555
512,1D,256,368318.0,364606.0,847.769,17826820,178268.2,215,2560,21605,48183
512,1D,512,370051.0,365470.0,776.154,524344,5243.44,2558,2560,173133,243907
